Player Name,League,Squad,Country,Position,Annualized Salary
I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,"∂ 25,480,000"
P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,"∂ 9,950,000"
M. Mahlangu,A,Fanatical Outlaws,Imaar Vircoand,DF,"∂ 26,500,000"
I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DF,"∂ 25,530,000"
A. Kobusingye,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 9,510,000"
F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 18,120,000"
J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 22,520,000"
L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 25,710,000"
J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,"∂ 7,640,000"
D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,"∂ 29,330,000"
F. Lubowa,A,Fanatical Outlaws,Newgan Ruland,FW,"∂ 21,810,000"
B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FW,"∂ 25,600,000"
I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,"∂ 25,250,000"
F. Dauda,A,Fanatical Outlaws,Nganion,GK,"∂ 18,470,000"
S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,"∂ 16,720,000"
R. Namuganza,A,Fanatical Outlaws,People's Land of Maneau,GK,"∂ 17,850,000"
R. Chee,A,Fanatical Outlaws,Southslands,GK,"∂ 4,940,000"
F. Pop,A,Fanatical Outlaws,Galamily,MF,"∂ 31,300,000"
D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 20,200,000"
I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 16,220,000"
L. Goodarzi,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 11,440,000"
Y. Joseph,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 12,880,000"
I. Horváth,A,Fanatical Outlaws,Western Niasland,MFDF,"∂ 11,780,000"
J. Akello,A,Fanatical Outlaws,Bernepamar,MFFW,"∂ 27,820,000"
I. Kamukama,A,Fanatical Outlaws,Lefghau,MFFW,"∂ 31,460,000"
W. Lew,A,Fanatical Outlaws,Nganion,MFFW,"∂ 22,810,000"
M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,MFFW,"∂ 25,650,000"
U. Pichler,A,Fanatical Outlaws,Quewenia,MFFW,"∂ 17,900,000"
H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,"∂ 29,240,000"
R. Petrenko,A,Fighting Cougars,Lefghau,DF,"∂ 17,170,000"
Z. Salisu,A,Fighting Cougars,Nganion,DF,"∂ 19,570,000"
